datetime_utc,hydraulic_71,hydraulic_36,hydraulic_1,solar_14,wind_12,nuclear_39,nuclear_4,nuclear_74,peninsula_forecast_460,scheduled_demand_365,scheduled_demand_358,scheduled_demand_372,daily_spot_market_600_España,daily_spot_market_600_Portugal,average_demand_price_573_Baleares,average_demand_price_573_Canarias,average_demand_price_573_Ceuta,average_demand_price_573_Melilla
2025-03-16 00:00:00+00:00,1778.85,6813.4,7202.6,3.0,5590.5,7101.1,7101.1,1775.275,23384.0,5015.575,19474.0,19723.8,70.0,70.0,67.49,68.62,77.53,77.59
2025-03-16 01:00:00+00:00,1569.4,6265.8,6679.0,3.0,5470.5,7102.1,7102.1,1775.525,22049.0,4752.3,18458.9,18690.9,65.0,65.0,62.93,64.27,70.63,70.95
2025-03-16 02:00:00+00:00,1388.275,5511.4,5925.0,3.0,5406.1,7100.1,7100.1,1775.025,21038.0,4634.475,17900.6,18151.6,65.0,65.0,60.64,62.51,66.42,66.92
2025-03-16 03:00:00+00:00,1376.75,5454.9,5869.5,3.0,5315.5,7102.1,7102.1,1775.525,20688.0,4564.45,17651.9,17883.0,63.02,63.02,60.23,63.11,66.35,69.24
2025-03-16 04:00:00+00:00,1382.4,5478.3,5895.1,3.0,5185.0,7101.1,7101.1,1775.275,20801.0,4548.3,17651.6,17909.7,65.0,65.0,61.28,63.92,65.96,69.35
2025-03-16 05:00:00+00:00,1380.625,5490.7,5908.1,0.3,5109.0,7102.1,7102.1,1775.525,21317.0,4648.875,18159.6,18345.2,65.0,65.0,64.25,67.24,66.13,72.41
2025-03-16 06:00:00+00:00,1329.125,5286.4,5705.5,406.3,4872.3,7101.1,7101.1,1775.275,21645.0,4751.325,18590.8,18773.8,67.8,67.8,67.59,69.13,64.3,70.31
2025-03-16 07:00:00+00:00,1295.9,4909.6,5327.9,3188.9,4614.1,7101.1,7101.1,1775.275,21983.0,4870.425,19383.0,19417.5,60.35,60.35,74.35,74.86,62.6,68.62
2025-03-16 08:00:00+00:00,1162.2,4687.2,4971.0,7518.6,4453.1,7101.1,7101.1,1775.275,23123.0,5179.7,20556.8,20643.6,40.5,40.5,78.05,79.21,64.37,71.76
2025-03-16 09:00:00+00:00,1127.225,4532.0,4778.3,10614.7,4411.8,7101.1,7101.1,1775.275,24313.0,5426.1,21441.6,21598.8,25.3,25.3,77.25,77.88,68.6,71.55
2025-03-16 10:00:00+00:00,1179.6,4422.6,4654.8,12234.5,4573.0,7101.1,7101.1,1775.275,25309.0,5503.95,21756.9,21984.0,11.06,11.06,77.45,76.56,73.15,76.3
2025-03-16 11:00:00+00:00,1026.675,4242.9,4274.4,13124.1,5037.4,7102.1,7102.1,1775.525,25290.0,5582.025,22202.5,22331.9,10.52,10.52,76.77,76.6,76.8,79.09
2025-03-16 12:00:00+00:00,1017.3,4240.5,4271.4,13280.6,5516.4,7101.1,7101.1,1775.275,25720.0,5663.15,22662.7,22644.7,11.37,11.37,75.35,77.69,82.48,82.18
2025-03-16 13:00:00+00:00,1029.1,4228.5,4266.8,13246.7,5879.6,7101.1,7101.1,1775.275,26544.0,5643.1,22492.9,22496.7,9.94,9.94,76.05,77.57,85.12,85.97
2025-03-16 14:00:00+00:00,1041.825,4256.0,4296.7,12746.4,6006.6,7100.1,7100.1,1775.025,25538.0,5413.725,21595.7,21736.2,6.99,6.99,71.69,72.74,80.71,81.73
2025-03-16 15:00:00+00:00,1066.975,4322.0,4370.6,10970.4,6060.7,7102.1,7102.1,1775.525,25158.0,5382.1,21397.8,21515.9,25.3,25.3,77.55,78.05,79.79,83.7
2025-03-16 16:00:00+00:00,1246.0,5074.7,5134.4,7588.8,5812.1,7101.1,7101.1,1775.275,25539.0,5472.875,21867.8,21703.9,46.0,46.0,85.4,88.44,82.66,90.6
2025-03-16 17:00:00+00:00,1660.75,7401.5,7761.3,2937.5,5683.3,7101.1,7101.1,1775.275,26279.0,5771.325,22619.6,22585.7,82.93,82.93,92.74,94.06,91.78,94.08
2025-03-16 18:00:00+00:00,2092.775,8508.3,8859.3,359.4,5563.7,7101.1,7101.1,1775.275,28668.0,6259.5,23811.6,24161.7,140.0,140.0,105.32,103.42,99.96,95.37
2025-03-16 19:00:00+00:00,2118.625,8476.1,8808.2,183.5,5683.4,7102.1,7102.1,1775.525,30956.0,6513.3,25043.1,25530.9,130.43,130.43,107.88,105.95,98.67,97.64
2025-03-16 20:00:00+00:00,2053.225,8104.5,8435.7,3.0,5719.2,7101.1,7101.1,1775.275,31552.0,6542.725,25205.2,25551.9,113.31,113.31,102.35,98.63,99.29,98.93
2025-03-16 21:00:00+00:00,1967.6,7935.4,8261.9,3.0,5529.3,7101.1,7101.1,1775.275,30204.0,6164.475,23678.3,23908.0,107.05,107.05,91.53,88.94,94.03,92.91
